ds,yhat,yhat_lower,yhat_upper
2025-04-01,399.4489752455613,268.2204277549821,522.2857460685932
2025-04-02,414.7689606739068,285.9675345606152,546.4997061272243
2025-04-03,431.5486051114939,297.6264360147537,560.3162441881462
2025-04-04,514.6750360902864,378.58758270189117,642.3847615523845
2025-04-05,631.4793598085873,493.6151948349387,759.0339052432191
2025-04-06,369.24798612252863,229.24771868617378,497.8374134418597
2025-04-07,429.82928133573415,301.73499552957935,555.7699355215003
2025-04-08,407.7037464662273,274.5855640095334,535.5725038670182
2025-04-09,421.1702159124012,291.75021456774806,556.5206139512292
2025-04-10,435.9856994030145,303.9564470743275,572.7149599963459
2025-04-11,517.1425897596324,390.32703354431766,660.0736665734178
2025-04-12,632.0802207512284,489.73921282674513,754.988898036547
2025-04-13,368.1924775785627,245.42008753879497,498.51994324601003
2025-04-14,427.43066374714067,296.1067348019466,554.6039499510796
2025-04-15,404.3699448871096,265.4885046148837,533.2804244282254
2025-04-16,417.3919877778409,296.499075757379,551.1503129679505
2025-04-17,432.3215373076289,307.1946254652665,565.2501784960072
2025-04-18,193.3207664218051,57.910069787128606,311.68209444295144
2025-04-19,515.7919488676762,387.96040819703825,651.8654890215355
2025-04-20,368.6159964586799,244.02874972146714,499.4528671241095
2025-04-21,430.48887851445573,299.6887263997757,562.9318513301971
2025-04-22,410.65305420644313,281.1387549870716,546.6873046296689
2025-04-23,427.42780468087926,297.06430357025374,556.4624588406285
2025-04-24,446.55346950588137,323.60970556191074,569.5050031887182
2025-04-25,532.9676530580123,394.44247302823715,665.2154286011395
2025-04-26,654.0169821049125,521.4733774505992,785.025210455791
2025-04-27,396.96614160480647,257.84911096472354,537.3366534370113
2025-04-28,463.603379084905,325.21134562455376,591.2013555462804
2025-04-29,448.3107467344896,308.88761005873744,585.4227876659004
2025-04-30,469.25161096059924,338.3617086920845,602.0831939072606
2025-05-01,196.14488871250302,67.37289237869967,327.8949783912293
2025-05-02,581.386810491196,434.80739514116686,706.6199706761495
2025-05-03,704.5857532689951,576.2677950327707,839.5109031874084
2025-05-04,448.75732810212673,317.7198374556701,584.4126582881181
2025-05-05,515.5931747084576,378.37681815996706,643.1560516479482
2025-05-06,499.4029623311079,369.8400434382243,633.2916800033813
2025-05-07,518.3048891472896,385.8489657790073,652.7359644891875
2025-05-08,537.8703579840768,409.00033751833035,669.2746207420378
2025-05-09,622.9064259387407,508.51582513641864,761.7698536643153
2025-05-10,740.6728706940223,607.271537491583,865.4878106882387
2025-05-11,478.395421900659,349.93994517663356,613.0852034167254
2025-05-12,537.874198821874,408.35835880705747,668.6226410365106
2025-05-13,513.555508571962,383.74248665764765,649.9109374092287
2025-05-14,523.7194581308942,398.05006272562537,648.219150810543
2025-05-15,534.1209639066215,406.8975554776884,655.5374289059514
2025-05-16,609.7678459352393,477.28247094749605,741.5192776167482
2025-05-17,718.132960147426,591.0662363019692,849.9007337828907
2025-05-18,446.66204594743385,314.4312586692209,575.5207031618696
2025-05-19,497.3764738612814,368.18578469681114,627.0946810584014
2025-05-20,464.93920190366185,341.6729124502651,606.7975560102069
2025-05-21,457.24533057567504,324.5264103463208,582.0342021117035
2025-05-22,472.0135708957208,348.25579789661236,605.708916220961
2025-05-23,542.6467684111973,407.29824344560814,673.9750449378536
2025-05-24,647.3514291678077,521.2972771923093,777.0943068885653
2025-05-25,373.68522563105665,237.4666263771537,500.92156008229017
2025-05-26,423.7474962337657,289.98719667498193,562.2012974459676
2025-05-27,392.24258449419693,258.44854808844576,524.8862015419446
2025-05-28,397.6599382365349,257.77515847033465,529.2082163370588
2025-05-29,405.9087726253232,276.1100739412858,542.640349712495
2025-05-30,482.09117422648916,350.25321105105184,610.275501059704
2025-05-31,593.7107541532908,468.00467810291156,717.5326748694208
2025-06-01,328.17864195276474,200.33961840931988,467.930565569022
2025-06-02,387.4160757010054,258.83088047942556,517.1320796906016
2025-06-03,365.92192144446574,226.67543013043908,492.69990796883087
2025-06-04,381.95771327626977,259.97021006210144,520.1811095492557
2025-06-05,401.18789084032767,266.2462205934958,534.5131390077458
2025-06-06,488.45896627848776,353.7132683396102,625.6016805162479
2025-06-07,611.0145692228717,471.7163530465729,749.8219999703091
2025-06-08,356.00799208502576,226.416249524346,486.7169713768703
2025-06-09,425.1113164543074,284.1057930183699,560.6600765863291
2025-06-10,412.58927868965,292.1542093727937,542.0745670417001
2025-06-11,436.49029537300567,303.90781680566704,567.7235814112731
2025-06-12,462.2921639927043,330.1382499018991,597.3600127586252
2025-06-13,554.6860231758859,416.43448047962875,686.9839204459125
2025-06-14,680.7953911859946,553.5436897999531,811.9183525310061
2025-06-15,427.6917965478126,290.5516456331706,559.8947950507712
2025-06-16,497.00599772077226,367.15727330274945,620.4516591851342
2025-06-17,483.00289290594293,356.85433130149784,609.320207317494
2025-06-18,503.7725120990558,374.65755914396556,639.1090117885042
2025-06-19,524.8746075270215,399.4341987605538,659.6053125949097
2025-06-20,581.6725767944199,451.1892252792119,710.1169977029087
2025-06-21,729.7887559044641,598.8576673147588,865.8114901210282
2025-06-22,468.13720127564653,334.50334895260403,598.879064985629
2025-06-23,528.0088673515212,385.8351301372888,654.2269948918669
2025-06-24,503.9016119183168,369.69289931771874,646.9988497358167
2025-06-25,514.1530499790481,382.64921817145523,654.2348484973986
2025-06-26,524.5787746017158,384.0123266689005,660.7400257742182
2025-06-27,600.2476103735822,478.20999926863874,735.5055621533827
2025-06-28,708.690952218716,576.3043751112187,840.5520201326443
2025-06-29,199.59052365546984,68.66060713653235,330.45269793455964
