ds,yhat,yhat_lower,yhat_upper
2025-03-01,131.66295099474226,97.57360397709851,164.13259873750718
2025-03-02,119.30777682448102,85.53838671085748,155.05326106571076
2025-03-03,76.02794013880813,40.15515125710187,111.33742014709027
2025-03-04,75.43131582702956,39.57695879810191,110.27686407914898
2025-03-05,81.08834806544105,44.923021100922675,117.5123982560814
2025-03-06,84.53444435101399,50.1350111787931,115.67704551880063
2025-03-07,101.94283647925451,64.28200878862522,135.7241353489187
2025-03-08,152.3933869867467,117.06204859314808,185.4222254146906
2025-03-09,141.03810522248585,106.09096249942269,179.26291585517552
2025-03-10,98.7212816165603,63.274759424381465,132.54822624777614
2025-03-11,99.0514321629327,66.88779046802921,134.70189437390292
2025-03-12,105.59990643182041,70.46317622804368,140.2489568217007
2025-03-13,109.9030648236276,74.77990076812746,146.52292324546755
2025-03-14,128.1349439329422,94.24756539226736,163.57387292130804
2025-03-15,179.3758965426371,143.20078181741786,214.46135920099096
2025-03-16,168.7779769959153,135.04778398400956,206.6827084256424
2025-03-17,127.18498546703222,91.66586368167374,164.5402944352075
2025-03-18,128.20436632958905,94.40641473394075,165.1980041965733
2025-03-19,135.40581524617352,99.880951657399,169.65564380405152
2025-03-20,140.3235001238522,105.3315143848515,173.96505536754492
2025-03-21,159.12881239008405,125.62015429714383,195.30327006964515
2025-03-22,210.89913096845635,176.6732723320519,246.55485415559468
2025-03-23,200.78336399805823,164.66186800468125,237.31930405939727
2025-03-24,159.62217477310915,122.78520105519569,195.1625031672963
2025-03-25,161.02007898436176,124.27491263684767,198.10950821560414
2025-03-26,168.54425900287288,134.45752233958603,205.75832597047787
2025-03-27,173.72699102538866,136.66685333390436,211.4269392753659
2025-03-28,192.73859211991956,156.92075610171693,226.39061171865603
2025-03-29,244.65636038849857,208.4892078295532,284.00585745902606
2025-03-30,234.6302647240982,198.71238763471624,272.59347774534945
2025-03-31,193.5032829853604,156.42907709091347,232.2675201254751
2025-04-01,194.8835692216629,158.31219055000358,232.41474636509886
2025-04-02,202.34329069848158,164.8814006276764,238.31277291856404
2025-04-03,207.42102719831038,171.41985150935736,245.792386376969
2025-04-04,226.29463810163153,190.56433914898483,265.26336788097456
2025-04-05,278.05007080931125,238.32925071957752,316.18938517735944
2025-04-06,267.84686923893065,229.5909878310946,304.2112096198126
2025-04-07,226.5382853352173,188.66668299936254,264.33842687525134
2025-04-08,227.74318010642153,190.2395891232016,269.2186360635136
2025-04-09,235.04456239664898,197.58939090546218,275.8431546862412
2025-04-10,239.99166670989663,200.26218703745357,279.968014286661
2025-04-11,258.77248551546506,223.40894883299256,298.9616100468456
2025-04-12,310.4822403152135,272.9319091408469,347.0568751986398
2025-04-13,300.2885613601371,260.8404150991312,339.839487172509
2025-04-14,259.0512902029709,218.5982144048494,298.40895986673405
2025-04-15,260.3941025450286,220.30848538551365,300.9903898961856
2025-04-16,267.9028098905093,229.45846803763038,310.62207197604715
2025-04-17,273.12725061605533,232.08769599669566,314.8003224628913
2025-04-18,292.2536938499113,253.74974946144724,335.6933429870559
2025-04-19,337.4563759905186,298.07122664347816,380.53556955383556
2025-04-20,334.6470398451368,291.5455003147503,376.6392393937106
2025-04-21,293.9261062264439,257.38500828898765,338.53734184666894
2025-04-22,295.82315375370024,254.182494705315,341.81941301768836
2025-04-23,303.9110854368577,261.40425419386264,346.0394961810186
2025-04-24,309.7251753039046,267.62372263444007,352.56426807254
2025-04-25,329.43581658986056,286.62217234486474,374.5569674687693
2025-04-26,382.11732465298894,341.0718735788975,427.19540490415244
2025-04-27,372.91355896563425,330.85074818680704,419.4347424754065
2025-04-28,332.6582692757137,293.13034747733707,379.67672496008987
2025-04-29,334.94735096418117,292.2749295470286,381.06219616457025
2025-04-30,343.33785262255265,299.30189678425523,390.12053593069805
2025-05-01,349.35062833334825,306.9480346165873,395.1025456672448
2025-05-02,369.1435377619812,326.2061045616266,415.72952630715787
2025-05-03,421.7806628153525,375.10515964879755,468.30257013180966
2025-05-04,412.39829240838895,367.3614888659803,462.70899721655223
2025-05-05,371.8255688242011,324.068643499327,421.2343223129876
2025-05-06,373.65697065193353,325.45957776844773,425.16333669657
2025-05-07,381.45146716164123,336.6621243443488,430.7199748734194
2025-05-08,386.7352305948771,336.7746328447934,438.64821680345773
2025-05-09,405.67480583723926,358.73544605300305,457.06837448402626
2025-05-10,457.3462050965032,411.95643332013947,510.0075284989793
2025-05-11,446.90068057534415,397.7863243764602,500.5012648330413
2025-05-12,405.185072650205,358.40855978206685,458.35644089616403
2025-05-13,405.81391506394175,357.84363745758117,461.01295960308136
2025-05-14,412.36814086302456,361.97309632616697,464.50514438408794
2025-05-15,416.3972865531742,364.14690696332207,470.5803079138237
2025-05-16,434.0921067724518,385.59899494039394,486.5370772917874
2025-05-17,484.55308143383144,431.6845053598581,544.1201739061302
2025-05-18,472.9555837611596,421.65011164020257,526.4281839969731
2025-05-19,430.1696228444723,377.0915353399222,489.8408680446738
2025-05-20,429.8313585683696,376.5297093950162,486.63443828381014
2025-05-21,474.8434207671678,422.2047890742032,533.0925181726959
2025-05-22,438.8657415097935,386.29818287988996,498.52223454197264
2025-05-23,456.00943912703735,399.5692372766696,519.3633944190005
2025-05-24,506.0832286996616,449.2328598557613,568.3853790811138
2025-05-25,494.269158292738,434.3408783525909,556.2596458706586
2025-05-26,451.4399811875655,390.4494084277241,514.4540631706432
2025-05-27,451.2305721070873,393.11376374333804,519.7427252335851
2025-05-28,457.23607874526033,399.24245996471404,518.7648729802339
